날짜,성별,연령대,맛,컵사이즈,개수,매출
2025-01-01,남,20대,바닐라,스몰,4,11200
2025-01-02,여,30대,초코,스몰,3,9600
2025-01-02,여,20대,초코,스몰,2,6400
2025-01-02,여,30대,바닐라,라지,1,4300
2025-01-02,남,50대이상,커피,미디엄,3,11400
2025-01-03,여,30대,초코,스몰,3,9600
2025-01-03,남,10대,초코,스몰,2,6400
2025-01-04,여,40대,바닐라,라지,4,17200
2025-01-05,여,30대,초코,라지,1,4700
2025-01-05,남,30대,초코,스몰,3,9600
2025-01-07,남,30대,초코,라지,4,18800
2025-01-08,남,20대,딸기,미디엄,3,11100
2025-01-09,여,20대,초코,미디엄,1,3900
2025-01-09,여,20대,딸기,미디엄,2,7400
2025-01-09,남,40대,바닐라,스몰,2,5600
2025-01-11,남,30대,바닐라,스몰,3,8400
2025-01-12,여,10대,바닐라,미디엄,2,7000
2025-01-12,남,30대,커피,미디엄,1,3800
2025-01-13,여,40대,바닐라,미디엄,3,10500
2025-01-14,남,30대,딸기,미디엄,3,11100
2025-01-14,남,10대,초코,스몰,3,9600
2025-01-15,남,30대,커피,스몰,2,6200
2025-01-15,여,50대이상,바닐라,라지,2,8600
2025-01-15,남,10대,초코,미디엄,3,11700
2025-01-15,남,20대,바닐라,미디엄,2,7000
2025-01-15,여,10대,녹차,미디엄,1,4000
2025-01-18,여,20대,초코,라지,2,9400
2025-01-21,남,50대이상,초코,스몰,1,3200
2025-01-21,남,20대,초코,라지,2,9400
2025-01-21,여,20대,바닐라,스몰,1,2800
2025-01-21,여,40대,녹차,스몰,4,13200
2025-01-22,남,40대,바닐라,미디엄,2,7000
2025-01-22,남,20대,커피,미디엄,2,7600
2025-01-24,여,10대,커피,스몰,1,3100
2025-01-24,여,20대,초코,라지,2,9400
2025-01-27,여,20대,바닐라,라지,4,17200
2025-01-27,여,40대,바닐라,라지,1,4300
2025-01-28,남,10대,바닐라,스몰,3,8400
2025-01-28,남,50대이상,커피,라지,1,4600
2025-01-28,남,30대,커피,스몰,1,3100
2025-01-28,남,30대,딸기,미디엄,2,7400
2025-01-29,여,20대,바닐라,스몰,2,5600
2025-01-30,남,40대,딸기,미디엄,2,7400
2025-02-02,남,30대,딸기,스몰,2,6000
2025-02-02,남,40대,딸기,라지,3,13500
2025-02-02,남,10대,녹차,미디엄,3,12000
2025-02-02,여,50대이상,커피,미디엄,2,7600
2025-02-04,여,20대,초코,미디엄,1,3900
2025-02-04,여,20대,바닐라,스몰,2,5600
2025-02-05,남,10대,커피,미디엄,4,15200
2025-02-06,여,20대,녹차,스몰,2,6600
2025-02-06,여,20대,딸기,미디엄,2,7400
2025-02-07,남,10대,바닐라,라지,1,4300
2025-02-07,남,50대이상,딸기,스몰,1,3000
2025-02-07,남,30대,초코,스몰,2,6400
2025-02-08,여,30대,딸기,스몰,3,9000
2025-02-08,남,40대,초코,미디엄,1,3900
2025-02-09,여,30대,커피,미디엄,2,7600
2025-02-10,여,30대,초코,스몰,1,3200
2025-02-10,남,40대,바닐라,스몰,1,2800
2025-02-11,여,20대,커피,스몰,1,3100
2025-02-11,남,40대,바닐라,스몰,1,2800
2025-02-13,여,30대,바닐라,미디엄,1,3500
2025-02-13,여,50대이상,초코,미디엄,2,7800
2025-02-14,남,20대,딸기,스몰,2,6000
2025-02-14,남,30대,초코,스몰,1,3200
2025-02-17,남,10대,녹차,라지,1,4800
2025-02-17,여,20대,바닐라,스몰,3,8400
2025-02-17,여,10대,초코,라지,1,4700
2025-02-17,여,30대,커피,라지,2,9200
2025-02-17,남,30대,딸기,라지,2,9000
2025-02-18,남,30대,커피,미디엄,2,7600
2025-02-19,남,10대,커피,스몰,4,12400
2025-02-20,여,20대,초코,라지,2,9400
2025-02-20,여,20대,딸기,스몰,2,6000
2025-02-20,남,10대,딸기,스몰,4,12000
2025-02-21,남,10대,초코,스몰,2,6400
2025-02-21,남,40대,초코,미디엄,2,7800
2025-02-21,남,30대,초코,미디엄,1,3900
2025-02-22,남,20대,녹차,스몰,3,9900
2025-02-22,남,10대,커피,라지,1,4600
2025-02-22,여,20대,바닐라,스몰,1,2800
2025-02-22,남,20대,초코,라지,3,14100
2025-02-23,남,30대,녹차,미디엄,1,4000
2025-02-23,여,40대,커피,미디엄,1,3800
2025-02-23,여,30대,초코,스몰,2,6400
2025-02-23,남,50대이상,바닐라,스몰,1,2800
2025-02-23,여,50대이상,바닐라,미디엄,1,3500
2025-02-24,남,50대이상,녹차,미디엄,2,8000
2025-02-27,여,30대,바닐라,스몰,2,5600
2025-02-28,여,10대,초코,스몰,2,6400
2025-02-28,여,20대,커피,미디엄,1,3800
2025-03-01,여,30대,녹차,라지,1,4800
2025-03-01,여,50대이상,커피,미디엄,1,3800
2025-03-03,여,20대,커피,라지,2,9200
2025-03-03,남,30대,초코,미디엄,1,3900
2025-03-03,여,30대,바닐라,미디엄,3,10500
2025-03-03,여,10대,딸기,스몰,3,9000
2025-03-04,남,30대,바닐라,미디엄,1,3500
2025-03-04,남,40대,커피,스몰,3,9300
2025-03-05,여,20대,초코,스몰,1,3200
2025-03-06,여,10대,커피,미디엄,1,3800
2025-03-07,남,20대,초코,라지,1,4700
2025-03-09,여,20대,딸기,스몰,1,3000
2025-03-09,남,10대,딸기,스몰,2,6000
2025-03-10,남,10대,커피,미디엄,1,3800
2025-03-11,남,20대,녹차,미디엄,2,8000
2025-03-12,남,30대,초코,미디엄,1,3900
2025-03-12,여,20대,초코,미디엄,1,3900
2025-03-13,남,40대,바닐라,미디엄,2,7000
2025-03-13,여,30대,녹차,미디엄,2,8000
2025-03-14,여,50대이상,딸기,미디엄,1,3700
2025-03-16,남,10대,커피,라지,2,9200
2025-03-16,여,30대,커피,스몰,1,3100
2025-03-16,여,20대,녹차,스몰,1,3300
2025-03-22,남,30대,녹차,미디엄,1,4000
2025-03-22,여,20대,커피,미디엄,3,11400
2025-03-22,여,20대,바닐라,스몰,2,5600
2025-03-23,남,30대,녹차,미디엄,2,8000
2025-03-23,여,30대,초코,미디엄,3,11700
2025-03-23,여,30대,바닐라,미디엄,4,14000
2025-03-25,여,30대,초코,미디엄,1,3900
2025-03-25,여,10대,바닐라,미디엄,1,3500
2025-03-25,남,20대,초코,미디엄,2,7800
2025-03-27,여,30대,딸기,스몰,2,6000
2025-03-28,여,20대,딸기,미디엄,1,3700
2025-03-29,남,20대,초코,라지,2,9400
2025-03-29,남,20대,녹차,라지,1,4800
2025-03-29,여,20대,녹차,미디엄,2,8000
2025-03-30,여,40대,바닐라,라지,1,4300
2025-03-30,남,20대,초코,스몰,1,3200
2025-03-30,여,50대이상,딸기,라지,1,4500
2025-03-31,여,20대,바닐라,라지,2,8600
2025-03-31,여,10대,바닐라,스몰,1,2800
2025-03-31,여,40대,녹차,라지,1,4800
2025-03-31,여,40대,바닐라,라지,1,4300
2025-04-02,남,20대,커피,미디엄,2,7600
2025-04-02,남,30대,바닐라,스몰,1,2800
2025-04-03,남,30대,딸기,미디엄,2,7400
2025-04-03,여,10대,초코,스몰,2,6400
2025-04-03,여,30대,딸기,스몰,3,9000
2025-04-05,여,10대,바닐라,스몰,1,2800
2025-04-06,여,10대,딸기,스몰,4,12000
2025-04-06,여,20대,딸기,미디엄,1,3700
2025-04-06,여,30대,딸기,미디엄,4,14800
2025-04-06,여,50대이상,딸기,라지,3,13500
2025-04-07,남,20대,커피,미디엄,2,7600
2025-04-08,여,30대,바닐라,스몰,2,5600
2025-04-09,남,40대,초코,미디엄,1,3900
2025-04-09,남,40대,커피,스몰,2,6200
2025-04-09,남,30대,딸기,미디엄,2,7400
2025-04-09,남,30대,커피,미디엄,2,7600
2025-04-10,여,40대,바닐라,미디엄,3,10500
2025-04-11,남,50대이상,녹차,미디엄,2,8000
2025-04-11,여,20대,녹차,스몰,1,3300
2025-04-13,여,30대,초코,미디엄,1,3900
2025-04-13,여,20대,녹차,미디엄,1,4000
2025-04-13,여,30대,딸기,미디엄,2,7400
2025-04-13,남,20대,바닐라,라지,2,8600
2025-04-14,남,10대,커피,스몰,1,3100
2025-04-14,남,50대이상,딸기,미디엄,2,7400
2025-04-14,남,10대,딸기,미디엄,2,7400
2025-04-14,여,30대,녹차,라지,3,14400
2025-04-14,남,40대,딸기,미디엄,1,3700
2025-04-16,남,10대,커피,미디엄,2,7600
2025-04-17,여,30대,초코,스몰,1,3200
2025-04-18,여,40대,초코,라지,2,9400
2025-04-18,남,50대이상,바닐라,라지,1,4300
2025-04-20,여,30대,딸기,스몰,1,3000
2025-04-21,남,40대,딸기,스몰,1,3000
2025-04-21,여,20대,바닐라,미디엄,1,3500
2025-04-22,여,20대,바닐라,미디엄,1,3500
2025-04-22,여,20대,바닐라,스몰,1,2800
2025-04-23,여,10대,바닐라,스몰,1,2800
2025-04-23,남,30대,커피,미디엄,2,7600
2025-04-23,남,30대,바닐라,스몰,1,2800
2025-04-23,남,30대,딸기,라지,1,4500
2025-04-23,남,40대,초코,스몰,1,3200
2025-04-23,남,40대,커피,스몰,1,3100
2025-04-25,여,40대,커피,미디엄,2,7600
2025-04-26,남,30대,초코,미디엄,2,7800
2025-04-26,남,20대,딸기,스몰,2,6000
2025-04-26,여,10대,초코,미디엄,4,15600
2025-04-27,남,30대,커피,미디엄,3,11400
2025-04-28,여,20대,커피,라지,1,4600
2025-04-29,여,10대,커피,스몰,2,6200
2025-04-30,남,20대,바닐라,스몰,1,2800
2025-05-01,여,20대,바닐라,라지,3,12900
2025-05-01,여,20대,커피,스몰,1,3100
2025-05-02,여,20대,바닐라,미디엄,3,10500
2025-05-03,여,30대,딸기,스몰,2,6000
2025-05-03,여,50대이상,녹차,미디엄,3,12000
2025-05-04,남,50대이상,녹차,미디엄,4,16000
2025-05-04,여,20대,녹차,라지,1,4800
2025-05-04,남,20대,딸기,스몰,1,3000
2025-05-06,남,30대,초코,미디엄,2,7800
2025-05-08,남,20대,커피,스몰,2,6200
2025-05-08,남,20대,바닐라,라지,1,4300
2025-05-08,남,20대,커피,스몰,2,6200
2025-05-08,남,10대,녹차,라지,2,9600
2025-05-08,남,30대,초코,미디엄,2,7800
2025-05-09,남,20대,녹차,미디엄,3,12000
2025-05-09,여,30대,딸기,미디엄,1,3700
2025-05-09,여,40대,바닐라,미디엄,1,3500
2025-05-09,남,30대,녹차,미디엄,4,16000
2025-05-09,여,40대,딸기,스몰,3,9000
2025-05-10,남,30대,녹차,미디엄,2,8000
2025-05-10,남,50대이상,바닐라,미디엄,2,7000
2025-05-10,여,40대,녹차,라지,2,9600
2025-05-10,여,20대,커피,스몰,1,3100
2025-05-10,여,20대,녹차,미디엄,1,4000
2025-05-11,남,30대,커피,스몰,1,3100
2025-05-11,남,50대이상,딸기,스몰,2,6000
2025-05-11,여,40대,커피,스몰,2,6200
2025-05-11,남,20대,커피,미디엄,2,7600
2025-05-11,남,30대,녹차,미디엄,2,8000
2025-05-12,여,20대,녹차,스몰,1,3300
2025-05-12,남,50대이상,딸기,미디엄,2,7400
2025-05-12,남,30대,녹차,라지,1,4800
2025-05-14,남,10대,커피,스몰,1,3100
